case_id,activity,timestamp,iteration,nesting_level,duration_ms,mem_alloc_kb,mem_peak_kb,changed,stmts_before,blocks_before,ssa_before,edges_before,dialects_before,dead_before,depth_before,consts_before,gates_before,stmts_after,blocks_after,ssa_after,edges_after,dialects_after,dead_after,depth_after,consts_after,gates_after,d_stmts,d_blocks,d_ssa,d_edges,d_dead,d_consts,d_gates
lots_of_constants,Canonicalize,2026-08-29T17:01:51.541361,1,0,0.0529,1.92,2.59,False,12,1,11,11,3,1,1,6,0,12,1,11,11,3,1,1,6,0,0,0,0,0,0,0,0
lots_of_constants,PostInference,2026-08-29T17:01:51.550501,1,1,0.099,1.29,76.62,False,12,1,11,11,3,1,1,6,0,12,1,11,11,3,1,1,6,0,0,0,0,0,0,0,0
lots_of_constants,TypeInfer,2026-08-29T17:01:51.552326,1,0,8.4294,86.52,104.1,True,12,1,11,11,3,1,1,6,0,12,1,11,11,3,1,1,6,0,0,0,0,0,0,0,0
lots_of_constants,Fold,2026-08-29T17:01:51.558568,1,0,5.1541,29.35,32.49,True,12,1,11,11,3,1,1,6,0,3,1,2,3,3,0,1,1,0,-9,0,-9,-8,-1,-5,0
lots_of_constants,Fold,2026-08-29T17:01:51.561894,2,0,2.9244,3.13,25.5,False,3,1,2,3,3,0,1,1,0,3,1,2,3,3,0,1,1,0,0,0,0,0,0,0,0
dead_code,Canonicalize,2026-08-29T17:01:51.582654,1,0,0.0474,0.26,0.43,False,7,1,6,5,3,2,1,4,0,7,1,6,5,3,2,1,4,0,0,0,0,0,0,0,0
dead_code,PostInference,2026-08-29T17:01:51.588806,1,1,0.0846,0.32,32.01,False,7,1,6,5,3,2,1,4,0,7,1,6,5,3,2,1,4,0,0,0,0,0,0,0,0
dead_code,TypeInfer,2026-08-29T17:01:51.589533,1,0,5.5249,12.75,32.01,True,7,1,6,5,3,2,1,4,0,7,1,6,5,3,2,1,4,0,0,0,0,0,0,0,0
dead_code,Fold,2026-08-29T17:01:51.593771,1,0,3.7852,3.25,27.72,True,7,1,6,5,3,2,1,4,0,3,1,2,3,3,0,1,1,0,-4,0,-4,-2,-2,-3,0
dead_code,Fold,2026-08-29T17:01:51.597323,2,0,3.1347,2.69,25.06,False,3,1,2,3,3,0,1,1,0,3,1,2,3,3,0,1,1,0,0,0,0,0,0,0,0
nothing_to_do,Canonicalize,2026-08-29T17:01:51.611326,1,0,0.0434,0.26,0.43,False,3,1,2,3,3,1,1,1,0,3,1,2,3,3,1,1,1,0,0,0,0,0,0,0,0
nothing_to_do,PostInference,2026-08-29T17:01:51.615708,1,1,0.0669,0.32,29.14,False,3,1,2,3,3,1,1,1,0,3,1,2,3,3,1,1,1,0,0,0,0,0,0,0,0
nothing_to_do,TypeInfer,2026-08-29T17:01:51.616242,1,0,3.8344,11.42,29.14,True,3,1,2,3,3,1,1,1,0,3,1,2,3,3,1,1,1,0,0,0,0,0,0,0,0
nothing_to_do,Fold,2026-08-29T17:01:51.619154,1,0,2.5362,2.5,25.18,True,3,1,2,3,3,1,1,1,0,2,1,1,3,2,0,1,0,0,-1,0,-1,0,-1,-1,0
nothing_to_do,Fold,2026-08-29T17:01:51.621470,2,0,2.0574,2.54,24.67,False,2,1,1,3,2,0,1,0,0,2,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0
with_a_loop,Canonicalize,2026-08-29T17:01:51.649004,1,0,0.0438,0.26,0.43,False,17,3,14,23,7,1,1,6,0,17,3,14,23,7,1,1,6,0,0,0,0,0,0,0,0
with_a_loop,PostInference,2026-08-29T17:01:51.655077,1,1,0.0587,0.19,38.67,False,17,3,14,23,7,1,1,6,0,17,3,14,23,7,1,1,6,0,0,0,0,0,0,0,0
with_a_loop,TypeInfer,2026-08-29T17:01:51.655781,1,0,5.5931,24.68,45.35,True,17,3,14,23,7,1,1,6,0,17,3,14,23,7,1,1,6,0,0,0,0,0,0,0,0
with_a_loop,Fold,2026-08-29T17:01:51.659867,1,0,3.5416,9.0,34.04,True,17,3,14,23,7,1,1,6,0,16,3,13,23,7,0,1,5,0,-1,0,-1,0,-1,-1,0
with_a_loop,Fold,2026-08-29T17:01:51.663439,2,0,3.1384,5.93,34.36,False,16,3,13,23,7,0,1,5,0,16,3,13,23,7,0,1,5,0,0,0,0,0,0,0,0
