case_id,activity,timestamp,iteration,nesting_level,duration_ms,mem_alloc_kb,mem_peak_kb,changed,stmts_before,blocks_before,ssa_before,edges_before,dialects_before,dead_before,depth_before,consts_before,gates_before,stmts_after,blocks_after,ssa_after,edges_after,dialects_after,dead_after,depth_after,consts_after,gates_after,d_stmts,d_blocks,d_ssa,d_edges,d_dead,d_consts,d_gates
ghz_state,PostInference,2026-08-29T17:02:39.335086,1,1,0.0844,0.32,62.84,False,15,1,10,17,4,0,1,5,4,15,1,10,17,4,0,1,5,4,0,0,0,0,0,0,0
ghz_state,PostInference,2026-08-29T17:02:39.341260,1,1,0.0577,0.19,77.88,False,15,1,10,17,4,0,1,5,4,15,1,10,17,4,0,1,5,4,0,0,0,0,0,0,0
ghz_state,Fold,2026-08-29T17:02:39.348970,1,2,3.4947,2.64,92.38,False,15,1,10,17,4,0,1,5,4,15,1,10,17,4,0,1,5,4,0,0,0,0,0,0,0
ghz_state,CanonicalizeIList,2026-08-29T17:02:39.351200,1,1,6.7545,10.0,92.38,False,15,1,10,17,4,0,1,5,4,15,1,10,17,4,0,1,5,4,0,0,0,0,0,0,0
ghz_state,QASM2Fold,2026-08-29T17:02:39.353208,1,0,29.9632,72.59,92.38,True,21,1,16,23,4,0,1,8,4,15,1,10,17,4,0,1,5,4,-6,0,-6,-6,0,-3,0
ghz_state,UOpToParallel,2026-08-29T17:02:39.361498,1,0,6.2768,43.49,63.15,True,15,1,10,17,4,0,1,5,4,15,1,10,17,4,0,1,5,4,0,0,0,0,0,0,0
all_hadamards,PostInference,2026-08-29T17:02:39.415265,1,1,0.0686,0.32,44.71,False,21,1,14,20,4,0,1,7,6,21,1,14,20,4,0,1,7,6,0,0,0,0,0,0,0
all_hadamards,PostInference,2026-08-29T17:02:39.421521,1,1,0.0675,0.25,54.46,False,21,1,14,20,4,0,1,7,6,21,1,14,20,4,0,1,7,6,0,0,0,0,0,0,0
all_hadamards,Fold,2026-08-29T17:02:39.429096,1,2,3.9816,2.9,65.5,False,21,1,14,20,4,0,1,7,6,21,1,14,20,4,0,1,7,6,0,0,0,0,0,0,0
all_hadamards,CanonicalizeIList,2026-08-29T17:02:39.430613,1,1,6.6415,4.95,65.5,False,21,1,14,20,4,0,1,7,6,21,1,14,20,4,0,1,7,6,0,0,0,0,0,0,0
all_hadamards,QASM2Fold,2026-08-29T17:02:39.432290,1,0,29.583,39.2,65.5,False,21,1,14,20,4,0,1,7,6,21,1,14,20,4,0,1,7,6,0,0,0,0,0,0,0
all_hadamards,UOpToParallel,2026-08-29T17:02:39.441313,1,0,7.2092,20.1,54.09,True,21,1,14,20,4,0,1,7,6,21,1,14,20,4,0,1,7,6,0,0,0,0,0,0,0
rotations,PostInference,2026-08-29T17:02:39.497988,1,1,0.0668,0.25,42.81,False,19,1,14,18,4,0,1,9,4,19,1,14,18,4,0,1,9,4,0,0,0,0,0,0,0
rotations,PostInference,2026-08-29T17:02:39.503618,1,1,0.0719,0.25,49.66,False,19,1,14,18,4,0,1,9,4,19,1,14,18,4,0,1,9,4,0,0,0,0,0,0,0
rotations,Fold,2026-08-29T17:02:39.509692,1,2,3.4633,1.19,57.6,False,19,1,14,18,4,0,1,9,4,19,1,14,18,4,0,1,9,4,0,0,0,0,0,0,0
rotations,CanonicalizeIList,2026-08-29T17:02:39.510905,1,1,5.2523,2.72,57.6,False,19,1,14,18,4,0,1,9,4,19,1,14,18,4,0,1,9,4,0,0,0,0,0,0,0
