case_id,program,config,activity,timestamp,seq,duration_ms,mem_alloc_kb,mem_peak_kb,changed,failed,ops_before,depth_before,gates_1q_before,gates_2q_before,gate_types_before,params_before,mid_measures_before,wires_before,ops_after,depth_after,gates_1q_after,gates_2q_after,gate_types_after,params_after,mid_measures_after,wires_after,d_ops,d_depth,d_gates_1q,d_gates_2q,d_params
param_arithmetic_light,param_arithmetic,light,cancel_inverses,1970-01-01T19:17:15.272591,0,0.7833,20.13,20.98,False,False,11,5,8,3,3,8,0,4,11,5,8,3,3,8,0,4,0,0,0,0,0
param_arithmetic_light,param_arithmetic,light,merge_rotations,1970-01-01T19:17:15.274310,1,0.9692,20.4,20.96,False,False,11,5,8,3,3,8,0,4,11,5,8,3,3,8,0,4,0,0,0,0,0
param_arithmetic_medium,param_arithmetic,medium,cancel_inverses,1970-01-01T19:17:15.276507,0,0.5437,4.05,7.69,False,False,11,5,8,3,3,8,0,4,11,5,8,3,3,8,0,4,0,0,0,0,0
param_arithmetic_medium,param_arithmetic,medium,merge_rotations,1970-01-01T19:17:15.277667,1,0.8488,12.79,13.35,False,False,11,5,8,3,3,8,0,4,11,5,8,3,3,8,0,4,0,0,0,0,0
param_arithmetic_medium,param_arithmetic,medium,single_qubit_fusion,1970-01-01T19:17:15.279105,2,5.8551,34.27,38.81,True,False,11,5,8,3,3,8,0,4,7,4,4,3,2,12,0,4,-4,-1,-4,0,4
param_arithmetic_heavy,param_arithmetic,heavy,cancel_inverses,1970-01-01T19:17:15.287205,0,0.7796,4.47,8.1,False,False,11,5,8,3,3,8,0,4,11,5,8,3,3,8,0,4,0,0,0,0,0
param_arithmetic_heavy,param_arithmetic,heavy,merge_rotations,1970-01-01T19:17:15.288651,1,1.0397,9.67,10.23,False,False,11,5,8,3,3,8,0,4,11,5,8,3,3,8,0,4,0,0,0,0,0
param_arithmetic_heavy,param_arithmetic,heavy,single_qubit_fusion,1970-01-01T19:17:15.290347,2,4.1782,6.04,10.93,True,False,11,5,8,3,3,8,0,4,7,4,4,3,2,12,0,4,-4,-1,-4,0,4
param_arithmetic_heavy,param_arithmetic,heavy,commute_controlled,1970-01-01T19:17:15.295166,3,0.3416,5.54,7.67,False,False,7,4,4,3,2,12,0,4,7,4,4,3,2,12,0,4,0,0,0,0,0
param_arithmetic_heavy,param_arithmetic,heavy,undo_swaps,1970-01-01T19:17:15.295883,4,0.6224,21.86,23.49,False,False,7,4,4,3,2,12,0,4,7,4,4,3,2,12,0,4,0,0,0,0,0
param_arithmetic_heavy,param_arithmetic,heavy,cancel_inverses_2,1970-01-01T19:17:15.297102,5,0.4577,5.02,7.38,False,False,7,4,4,3,2,12,0,4,7,4,4,3,2,12,0,4,0,0,0,0,0
deep_arithmetic_light,deep_arithmetic,light,cancel_inverses,1970-01-01T19:17:15.298428,0,0.262,5.81,9.14,False,False,12,3,12,0,3,12,0,4,12,3,12,0,3,12,0,4,0,0,0,0,0
deep_arithmetic_light,deep_arithmetic,light,merge_rotations,1970-01-01T19:17:15.298986,1,0.8874,14.02,14.53,False,False,12,3,12,0,3,12,0,4,12,3,12,0,3,12,0,4,0,0,0,0,0
deep_arithmetic_medium,deep_arithmetic,medium,cancel_inverses,1970-01-01T19:17:15.300742,0,0.2415,1.08,4.85,False,False,12,3,12,0,3,12,0,4,12,3,12,0,3,12,0,4,0,0,0,0,0
deep_arithmetic_medium,deep_arithmetic,medium,merge_rotations,1970-01-01T19:17:15.301295,1,0.8121,10.73,11.29,False,False,12,3,12,0,3,12,0,4,12,3,12,0,3,12,0,4,0,0,0,0,0
deep_arithmetic_medium,deep_arithmetic,medium,single_qubit_fusion,1970-01-01T19:17:15.302572,2,6.0652,11.72,16.19,True,False,12,3,12,0,3,12,0,4,4,1,4,0,1,12,0,4,-8,-2,-8,0,0
deep_arithmetic_heavy,deep_arithmetic,heavy,cancel_inverses,1970-01-01T19:17:15.309571,0,0.2618,1.08,4.85,False,False,12,3,12,0,3,12,0,4,12,3,12,0,3,12,0,4,0,0,0,0,0
deep_arithmetic_heavy,deep_arithmetic,heavy,merge_rotations,1970-01-01T19:17:15.310086,1,0.694,11.25,11.75,False,False,12,3,12,0,3,12,0,4,12,3,12,0,3,12,0,4,0,0,0,0,0
