case_id,program,config,activity,timestamp,seq,duration_ms,mem_alloc_kb,mem_peak_kb,changed,failed,ops_before,depth_before,gates_1q_before,gates_2q_before,gate_types_before,params_before,mid_measures_before,wires_before,ops_after,depth_after,gates_1q_after,gates_2q_after,gate_types_after,params_after,mid_measures_after,wires_after,d_ops,d_depth,d_gates_1q,d_gates_2q,d_params
ghz_light,ghz,light,cancel_inverses,1970-01-01T19:17:40.380303,0,0.4758,19.86,20.56,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_light,ghz,light,merge_rotations,1970-01-01T19:17:40.381649,1,0.1139,8.38,8.7,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_medium,ghz,medium,cancel_inverses,1970-01-01T19:17:40.382447,0,0.2947,3.16,4.32,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_medium,ghz,medium,merge_rotations,1970-01-01T19:17:40.383140,1,0.0589,2.16,2.48,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_medium,ghz,medium,single_qubit_fusion,1970-01-01T19:17:40.383520,2,1.2147,27.0,28.43,True,False,4,4,1,3,2,0,0,4,5,5,1,3,3,4,0,4,1,1,0,0,4
ghz_medium,ghz,medium,commute_controlled,1970-01-01T19:17:40.385487,3,0.1601,5.82,7.27,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
ghz_medium,ghz,medium,undo_swaps,1970-01-01T19:17:40.386027,4,0.5669,22.61,23.22,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
ghz_heavy,ghz,heavy,cancel_inverses,1970-01-01T19:17:40.387502,0,0.304,3.79,4.95,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_heavy,ghz,heavy,merge_rotations,1970-01-01T19:17:40.388238,1,0.0663,2.16,2.48,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_heavy,ghz,heavy,single_qubit_fusion,1970-01-01T19:17:40.388606,2,0.6845,4.38,5.82,True,False,4,4,1,3,2,0,0,4,5,5,1,3,3,4,0,4,1,1,0,0,4
ghz_heavy,ghz,heavy,commute_controlled,1970-01-01T19:17:40.389723,3,0.1507,2.1,3.55,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
ghz_heavy,ghz,heavy,undo_swaps,1970-01-01T19:17:40.390224,4,0.5208,9.89,11.39,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
ghz_heavy,ghz,heavy,cancel_inverses_2,1970-01-01T19:17:40.391231,5,0.3054,4.15,5.82,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
ghz_heavy,ghz,heavy,merge_rotations_2,1970-01-01T19:17:40.391942,6,0.2486,5.01,5.47,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
ghz_decompose,ghz,decompose,cancel_inverses,1970-01-01T19:17:40.392807,0,0.2787,2.91,4.07,False,False,4,4,1,3,2,0,0,4,4,4,1,3,2,0,0,4,0,0,0,0,0
ghz_decompose,ghz,decompose,decompose,1970-01-01T19:17:40.393415,1,0.4035,17.32,20.18,True,False,4,4,1,3,2,0,0,4,6,6,3,3,3,3,0,4,2,2,2,0,3
ghz_decompose,ghz,decompose,merge_rotations,1970-01-01T19:17:40.394342,2,0.3301,11.03,11.52,False,False,6,6,3,3,3,3,0,4,6,6,3,3,3,3,0,4,0,0,0,0,0
ghz_decompose,ghz,decompose,single_qubit_fusion,1970-01-01T19:17:40.395144,3,2.1644,13.57,17.73,True,False,6,6,3,3,3,3,0,4,4,4,1,3,2,3,0,4,-2,-2,-2,0,0
qft_light,qft,light,cancel_inverses,1970-01-01T19:17:40.398708,0,0.4357,5.86,9.29,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_light,qft,light,merge_rotations,1970-01-01T19:17:40.399748,1,1.1567,15.77,16.43,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_medium,qft,medium,cancel_inverses,1970-01-01T19:17:40.402097,0,0.35,3.4,6.85,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_medium,qft,medium,merge_rotations,1970-01-01T19:17:40.402910,1,1.1378,14.59,15.69,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_medium,qft,medium,single_qubit_fusion,1970-01-01T19:17:40.404822,2,1.4009,5.28,10.02,True,False,10,7,4,6,2,6,0,4,11,8,4,6,4,16,0,4,1,1,0,0,10
qft_medium,qft,medium,commute_controlled,1970-01-01T19:17:40.406945,3,0.294,3.03,6.68,False,False,11,8,4,6,4,16,0,4,11,8,4,6,4,16,0,4,0,0,0,0,0
qft_medium,qft,medium,undo_swaps,1970-01-01T19:17:40.407713,4,0.8053,11.52,14.58,False,False,11,8,4,6,4,16,0,4,11,8,4,6,4,16,0,4,0,0,0,0,0
qft_heavy,qft,heavy,cancel_inverses,1970-01-01T19:17:40.409586,0,0.3418,3.4,6.85,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_heavy,qft,heavy,merge_rotations,1970-01-01T19:17:40.410403,1,1.0914,14.52,15.62,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_heavy,qft,heavy,single_qubit_fusion,1970-01-01T19:17:40.412245,2,1.4142,5.34,10.08,True,False,10,7,4,6,2,6,0,4,11,8,4,6,4,16,0,4,1,1,0,0,10
qft_heavy,qft,heavy,commute_controlled,1970-01-01T19:17:40.414319,3,0.2894,3.54,7.18,False,False,11,8,4,6,4,16,0,4,11,8,4,6,4,16,0,4,0,0,0,0,0
qft_heavy,qft,heavy,undo_swaps,1970-01-01T19:17:40.415170,4,0.7773,11.52,14.58,False,False,11,8,4,6,4,16,0,4,11,8,4,6,4,16,0,4,0,0,0,0,0
qft_heavy,qft,heavy,cancel_inverses_2,1970-01-01T19:17:40.416643,5,0.3492,3.09,7.19,False,False,11,8,4,6,4,16,0,4,11,8,4,6,4,16,0,4,0,0,0,0,0
qft_heavy,qft,heavy,merge_rotations_2,1970-01-01T19:17:40.417505,6,1.3947,16.23,17.31,False,False,11,8,4,6,4,16,0,4,11,8,4,6,4,16,0,4,0,0,0,0,0
qft_decompose,qft,decompose,cancel_inverses,1970-01-01T19:17:40.420237,0,0.3542,3.4,6.85,False,False,10,7,4,6,2,6,0,4,10,7,4,6,2,6,0,4,0,0,0,0,0
qft_decompose,qft,decompose,decompose,1970-01-01T19:17:40.421067,1,2.6451,46.19,51.86,True,False,10,7,4,6,2,6,0,4,42,27,30,12,3,30,0,4,32,20,26,6,24
qft_decompose,qft,decompose,merge_rotations,1970-01-01T19:17:40.425415,2,3.0497,20.95,21.9,True,False,42,27,30,12,3,30,0,4,36,25,24,12,3,24,0,4,-6,-2,-6,0,-6
qft_decompose,qft,decompose,single_qubit_fusion,1970-01-01T19:17:40.429681,3,10.2768,20.05,34.6,True,False,36,25,24,12,3,24,0,4,28,21,16,12,2,48,0,4,-8,-4,-8,0,24
full_entangle_light,full_entangle,light,cancel_inverses,1970-01-01T19:17:40.441806,0,0.7065,4.59,8.37,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_light,full_entangle,light,merge_rotations,1970-01-01T19:17:40.442967,1,0.0897,2.21,2.62,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_medium,full_entangle,medium,cancel_inverses,1970-01-01T19:17:40.443879,0,0.6729,2.69,6.14,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_medium,full_entangle,medium,merge_rotations,1970-01-01T19:17:40.445028,1,0.0644,1.77,2.18,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_medium,full_entangle,medium,single_qubit_fusion,1970-01-01T19:17:40.445491,2,1.6035,6.09,10.83,True,False,10,6,4,6,2,0,0,4,11,7,4,6,3,13,0,4,1,1,0,0,13
full_entangle_medium,full_entangle,medium,commute_controlled,1970-01-01T19:17:40.447717,3,0.3955,2.66,6.3,False,False,11,7,4,6,3,13,0,4,11,7,4,6,3,13,0,4,0,0,0,0,0
full_entangle_medium,full_entangle,medium,undo_swaps,1970-01-01T19:17:40.448582,4,0.8938,15.72,19.79,False,False,11,7,4,6,3,13,0,4,11,7,4,6,3,13,0,4,0,0,0,0,0
full_entangle_heavy,full_entangle,heavy,cancel_inverses,1970-01-01T19:17:40.450582,0,0.7168,2.36,6.14,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_heavy,full_entangle,heavy,merge_rotations,1970-01-01T19:17:40.451792,1,0.0842,1.66,2.07,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_heavy,full_entangle,heavy,single_qubit_fusion,1970-01-01T19:17:40.452310,2,1.5912,5.92,10.66,True,False,10,6,4,6,2,0,0,4,11,7,4,6,3,13,0,4,1,1,0,0,13
full_entangle_heavy,full_entangle,heavy,commute_controlled,1970-01-01T19:17:40.454491,3,0.3425,2.66,6.3,False,False,11,7,4,6,3,13,0,4,11,7,4,6,3,13,0,4,0,0,0,0,0
full_entangle_heavy,full_entangle,heavy,undo_swaps,1970-01-01T19:17:40.455298,4,0.8574,15.72,19.79,False,False,11,7,4,6,3,13,0,4,11,7,4,6,3,13,0,4,0,0,0,0,0
full_entangle_heavy,full_entangle,heavy,cancel_inverses_2,1970-01-01T19:17:40.456770,5,0.6568,2.38,6.48,False,False,11,7,4,6,3,13,0,4,11,7,4,6,3,13,0,4,0,0,0,0,0
full_entangle_heavy,full_entangle,heavy,merge_rotations_2,1970-01-01T19:17:40.457860,6,0.5578,5.3,5.87,False,False,11,7,4,6,3,13,0,4,11,7,4,6,3,13,0,4,0,0,0,0,0
full_entangle_decompose,full_entangle,decompose,cancel_inverses,1970-01-01T19:17:40.459375,0,0.773,2.36,6.14,False,False,10,6,4,6,2,0,0,4,10,6,4,6,2,0,0,4,0,0,0,0,0
full_entangle_decompose,full_entangle,decompose,decompose,1970-01-01T19:17:40.460686,1,3.1293,43.89,49.61,True,False,10,6,4,6,2,0,0,4,42,24,30,12,3,30,0,4,32,18,26,6,30
full_entangle_decompose,full_entangle,decompose,merge_rotations,1970-01-01T19:17:40.465547,2,3.0487,23.71,24.66,True,False,42,24,30,12,3,30,0,4,39,23,27,12,3,27,0,4,-3,-1,-3,0,-3
full_entangle_decompose,full_entangle,decompose,single_qubit_fusion,1970-01-01T19:17:40.469819,3,10.3978,22.04,37.58,True,False,39,23,27,12,3,27,0,4,31,21,19,12,3,55,0,4,-8,-2,-8,0,28
redundant_light,redundant,light,cancel_inverses,1970-01-01T19:17:40.482424,0,0.3584,2.98,10.8,True,False,22,10,16,6,3,0,0,4,0,0,0,0,0,0,0,1,-22,-10,-16,-6,0
redundant_light,redundant,light,merge_rotations,1970-01-01T19:17:40.482972,1,0.052,2.13,2.41,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_medium,redundant,medium,cancel_inverses,1970-01-01T19:17:40.483817,0,0.3787,2.4,10.23,True,False,22,10,16,6,3,0,0,4,0,0,0,0,0,0,0,1,-22,-10,-16,-6,0
redundant_medium,redundant,medium,merge_rotations,1970-01-01T19:17:40.484370,1,0.0429,1.7,1.98,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_medium,redundant,medium,single_qubit_fusion,1970-01-01T19:17:40.484524,2,0.2287,1.45,1.79,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_medium,redundant,medium,commute_controlled,1970-01-01T19:17:40.484890,3,0.0262,0.98,1.16,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_medium,redundant,medium,undo_swaps,1970-01-01T19:17:40.485039,4,0.0439,1.33,1.73,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_heavy,redundant,heavy,cancel_inverses,1970-01-01T19:17:40.485749,0,0.3467,2.4,10.23,True,False,22,10,16,6,3,0,0,4,0,0,0,0,0,0,0,1,-22,-10,-16,-6,0
redundant_heavy,redundant,heavy,merge_rotations,1970-01-01T19:17:40.486250,1,0.0319,1.7,1.98,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_heavy,redundant,heavy,single_qubit_fusion,1970-01-01T19:17:40.486398,2,0.0859,1.25,1.58,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_heavy,redundant,heavy,commute_controlled,1970-01-01T19:17:40.486603,3,0.0226,0.98,1.16,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_heavy,redundant,heavy,undo_swaps,1970-01-01T19:17:40.486732,4,0.0367,1.33,1.73,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_heavy,redundant,heavy,cancel_inverses_2,1970-01-01T19:17:40.486874,5,0.0212,0.98,1.16,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_heavy,redundant,heavy,merge_rotations_2,1970-01-01T19:17:40.487016,6,0.0382,1.15,1.43,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_decompose,redundant,decompose,cancel_inverses,1970-01-01T19:17:40.487685,0,0.3364,2.4,10.23,True,False,22,10,16,6,3,0,0,4,0,0,0,0,0,0,0,1,-22,-10,-16,-6,0
redundant_decompose,redundant,decompose,decompose,1970-01-01T19:17:40.488173,1,0.0381,0.57,1.72,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_decompose,redundant,decompose,merge_rotations,1970-01-01T19:17:40.488271,2,0.0386,1.15,1.43,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
redundant_decompose,redundant,decompose,single_qubit_fusion,1970-01-01T19:17:40.488416,3,0.0762,1.25,1.58,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
rotations_light,rotations,light,cancel_inverses,1970-01-01T19:17:40.489165,0,0.4895,2.73,11.98,False,False,28,7,28,0,2,28,0,4,28,7,28,0,2,28,0,4,0,0,0,0,0
rotations_light,rotations,light,merge_rotations,1970-01-01T19:17:40.489972,1,2.7574,17.19,17.79,True,False,28,7,28,0,2,28,0,4,8,2,8,0,2,8,0,4,-20,-5,-20,0,-20
rotations_medium,rotations,medium,cancel_inverses,1970-01-01T19:17:40.493654,0,0.5025,1.33,10.6,False,False,28,7,28,0,2,28,0,4,28,7,28,0,2,28,0,4,0,0,0,0,0
rotations_medium,rotations,medium,merge_rotations,1970-01-01T19:17:40.494444,1,2.6415,16.0,16.72,True,False,28,7,28,0,2,28,0,4,8,2,8,0,2,8,0,4,-20,-5,-20,0,-20
rotations_medium,rotations,medium,single_qubit_fusion,1970-01-01T19:17:40.497543,2,3.4471,5.75,10.29,True,False,8,2,8,0,2,8,0,4,4,1,4,0,1,12,0,4,-4,-1,-4,0,4
rotations_medium,rotations,medium,commute_controlled,1970-01-01T19:17:40.501430,3,0.1015,1.08,2.01,False,False,4,1,4,0,1,12,0,4,4,1,4,0,1,12,0,4,0,0,0,0,0
rotations_medium,rotations,medium,undo_swaps,1970-01-01T19:17:40.501717,4,0.1034,3.3,4.23,False,False,4,1,4,0,1,12,0,4,4,1,4,0,1,12,0,4,0,0,0,0,0
rotations_heavy,rotations,heavy,cancel_inverses,1970-01-01T19:17:40.502508,0,0.5499,1.33,10.6,False,False,28,7,28,0,2,28,0,4,28,7,28,0,2,28,0,4,0,0,0,0,0
rotations_heavy,rotations,heavy,merge_rotations,1970-01-01T19:17:40.503390,1,2.6032,15.95,16.55,True,False,28,7,28,0,2,28,0,4,8,2,8,0,2,8,0,4,-20,-5,-20,0,-20
rotations_heavy,rotations,heavy,single_qubit_fusion,1970-01-01T19:17:40.506434,2,3.2532,5.76,10.63,True,False,8,2,8,0,2,8,0,4,4,1,4,0,1,12,0,4,-4,-1,-4,0,4
rotations_heavy,rotations,heavy,commute_controlled,1970-01-01T19:17:40.510143,3,0.0958,1.08,2.01,False,False,4,1,4,0,1,12,0,4,4,1,4,0,1,12,0,4,0,0,0,0,0
rotations_heavy,rotations,heavy,undo_swaps,1970-01-01T19:17:40.510406,4,0.1066,3.3,4.23,False,False,4,1,4,0,1,12,0,4,4,1,4,0,1,12,0,4,0,0,0,0,0
rotations_heavy,rotations,heavy,cancel_inverses_2,1970-01-01T19:17:40.510689,5,0.0745,1.02,1.98,False,False,4,1,4,0,1,12,0,4,4,1,4,0,1,12,0,4,0,0,0,0,0
rotations_heavy,rotations,heavy,merge_rotations_2,1970-01-01T19:17:40.510915,6,0.109,1.73,2.12,False,False,4,1,4,0,1,12,0,4,4,1,4,0,1,12,0,4,0,0,0,0,0
rotations_decompose,rotations,decompose,cancel_inverses,1970-01-01T19:17:40.511558,0,0.4829,1.33,10.6,False,False,28,7,28,0,2,28,0,4,28,7,28,0,2,28,0,4,0,0,0,0,0
rotations_decompose,rotations,decompose,decompose,1970-01-01T19:17:40.512317,1,0.0906,0.91,2.11,False,False,28,7,28,0,2,28,0,4,28,7,28,0,2,28,0,4,0,0,0,0,0
rotations_decompose,rotations,decompose,merge_rotations,1970-01-01T19:17:40.512528,2,2.623,15.38,16.1,True,False,28,7,28,0,2,28,0,4,8,2,8,0,2,8,0,4,-20,-5,-20,0,-20
rotations_decompose,rotations,decompose,single_qubit_fusion,1970-01-01T19:17:40.515809,3,3.3829,5.7,10.79,True,False,8,2,8,0,2,8,0,4,4,1,4,0,1,12,0,4,-4,-1,-4,0,4
layered_light,layered,light,cancel_inverses,1970-01-01T19:17:40.521254,0,1.6512,4.87,16.31,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_light,layered,light,merge_rotations,1970-01-01T19:17:40.523989,1,2.1854,25.88,26.63,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_medium,layered,medium,cancel_inverses,1970-01-01T19:17:40.528181,0,1.4276,4.87,16.31,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_medium,layered,medium,merge_rotations,1970-01-01T19:17:40.530575,1,2.6428,23.09,23.84,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_medium,layered,medium,single_qubit_fusion,1970-01-01T19:17:40.534370,2,10.8229,15.51,28.67,True,False,33,13,24,9,3,24,0,4,21,10,12,9,2,36,0,4,-12,-3,-12,0,12
layered_medium,layered,medium,commute_controlled,1970-01-01T19:17:40.546269,3,0.784,3.23,10.36,False,False,21,10,12,9,2,36,0,4,21,10,12,9,2,36,0,4,0,0,0,0,0
layered_medium,layered,medium,undo_swaps,1970-01-01T19:17:40.547797,4,1.7457,25.66,33.43,False,False,21,10,12,9,2,36,0,4,21,10,12,9,2,36,0,4,0,0,0,0,0
layered_heavy,layered,heavy,cancel_inverses,1970-01-01T19:17:40.551403,0,1.3064,4.87,16.31,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_heavy,layered,heavy,merge_rotations,1970-01-01T19:17:40.553423,1,2.2572,23.09,23.84,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_heavy,layered,heavy,single_qubit_fusion,1970-01-01T19:17:40.556909,2,12.6707,16.99,30.16,True,False,33,13,24,9,3,24,0,4,21,10,12,9,2,36,0,4,-12,-3,-12,0,12
layered_heavy,layered,heavy,commute_controlled,1970-01-01T19:17:40.571450,3,1.2133,3.42,10.55,False,False,21,10,12,9,2,36,0,4,21,10,12,9,2,36,0,4,0,0,0,0,0
layered_heavy,layered,heavy,undo_swaps,1970-01-01T19:17:40.573725,4,1.599,25.66,33.43,False,False,21,10,12,9,2,36,0,4,21,10,12,9,2,36,0,4,0,0,0,0,0
layered_heavy,layered,heavy,cancel_inverses_2,1970-01-01T19:17:40.576611,5,1.2057,2.62,10.59,False,False,21,10,12,9,2,36,0,4,21,10,12,9,2,36,0,4,0,0,0,0,0
layered_heavy,layered,heavy,merge_rotations_2,1970-01-01T19:17:40.578661,6,1.8425,10.83,11.54,False,False,21,10,12,9,2,36,0,4,21,10,12,9,2,36,0,4,0,0,0,0,0
layered_decompose,layered,decompose,cancel_inverses,1970-01-01T19:17:40.583643,0,2.2346,4.87,16.31,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_decompose,layered,decompose,decompose,1970-01-01T19:17:40.586852,1,0.1082,0.57,1.72,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_decompose,layered,decompose,merge_rotations,1970-01-01T19:17:40.587237,2,2.1707,22.05,22.8,False,False,33,13,24,9,3,24,0,4,33,13,24,9,3,24,0,4,0,0,0,0,0
layered_decompose,layered,decompose,single_qubit_fusion,1970-01-01T19:17:40.590878,3,13.599,15.29,28.45,True,False,33,13,24,9,3,24,0,4,21,10,12,9,2,36,0,4,-12,-3,-12,0,12
with_swaps_light,with_swaps,light,cancel_inverses,1970-01-01T19:17:40.605942,0,0.2613,2.91,5.27,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_light,with_swaps,light,merge_rotations,1970-01-01T19:17:40.606559,1,0.0691,1.65,1.99,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_medium,with_swaps,medium,cancel_inverses,1970-01-01T19:17:40.607249,0,0.2178,2.19,4.38,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_medium,with_swaps,medium,merge_rotations,1970-01-01T19:17:40.607823,1,0.068,1.21,1.55,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_medium,with_swaps,medium,single_qubit_fusion,1970-01-01T19:17:40.608203,2,0.8284,3.06,6.01,True,False,7,7,1,6,3,0,0,4,8,8,1,6,4,4,0,4,1,1,0,0,4
with_swaps_medium,with_swaps,medium,commute_controlled,1970-01-01T19:17:40.609781,3,0.2553,2.08,4.55,False,False,8,8,1,6,4,4,0,4,8,8,1,6,4,4,0,4,0,0,0,0,0
with_swaps_medium,with_swaps,medium,undo_swaps,1970-01-01T19:17:40.610612,4,0.8908,8.12,10.67,True,False,8,8,1,6,4,4,0,4,5,5,1,3,3,4,0,4,-3,-3,0,-3,0
with_swaps_heavy,with_swaps,heavy,cancel_inverses,1970-01-01T19:17:40.612751,0,0.2285,1.96,4.32,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_heavy,with_swaps,heavy,merge_rotations,1970-01-01T19:17:40.613401,1,0.0796,1.21,1.55,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_heavy,with_swaps,heavy,single_qubit_fusion,1970-01-01T19:17:40.613793,2,0.7943,3.01,5.96,True,False,7,7,1,6,3,0,0,4,8,8,1,6,4,4,0,4,1,1,0,0,4
with_swaps_heavy,with_swaps,heavy,commute_controlled,1970-01-01T19:17:40.615181,3,0.1875,2.08,4.55,False,False,8,8,1,6,4,4,0,4,8,8,1,6,4,4,0,4,0,0,0,0,0
with_swaps_heavy,with_swaps,heavy,undo_swaps,1970-01-01T19:17:40.615894,4,0.6489,8.12,10.67,True,False,8,8,1,6,4,4,0,4,5,5,1,3,3,4,0,4,-3,-3,0,-3,0
with_swaps_heavy,with_swaps,heavy,cancel_inverses_2,1970-01-01T19:17:40.617199,5,0.3086,2.0,3.67,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
with_swaps_heavy,with_swaps,heavy,merge_rotations_2,1970-01-01T19:17:40.617878,6,0.2834,2.71,3.24,False,False,5,5,1,3,3,4,0,4,5,5,1,3,3,4,0,4,0,0,0,0,0
with_swaps_decompose,with_swaps,decompose,cancel_inverses,1970-01-01T19:17:40.618899,0,0.2474,1.96,4.32,False,False,7,7,1,6,3,0,0,4,7,7,1,6,3,0,0,4,0,0,0,0,0
with_swaps_decompose,with_swaps,decompose,decompose,1970-01-01T19:17:40.619557,1,1.0274,15.43,19.37,True,False,7,7,1,6,3,0,0,4,15,15,3,12,3,3,0,4,8,8,2,6,3
with_swaps_decompose,with_swaps,decompose,merge_rotations,1970-01-01T19:17:40.621744,2,0.4352,4.04,4.55,False,False,15,15,3,12,3,3,0,4,15,15,3,12,3,3,0,4,0,0,0,0,0
with_swaps_decompose,with_swaps,decompose,single_qubit_fusion,1970-01-01T19:17:40.623024,3,2.0365,3.83,10.96,True,False,15,15,3,12,3,3,0,4,13,13,1,12,2,3,0,4,-2,-2,-2,0,0
