case_id,program,config,activity,timestamp,seq,duration_ms,changed,ops_before,depth_before,gates_1q_before,gates_2q_before,gate_types_before,qubits_before,clbits_before,ops_after,depth_after,gates_1q_after,gates_2q_after,gate_types_after,qubits_after,clbits_after,d_ops,d_depth,d_gates_1q,d_gates_2q,mem_peak_kb
measure_only_L0,measure_only,level0,ContainsInstruction,2026-08-29T17:13:22.338089,0,0.0234,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,102.38
measure_only_L0,measure_only,level0,UnitarySynthesis,2026-08-29T17:13:22.338211,1,0.0134,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L0,measure_only,level0,HighLevelSynthesis,2026-08-29T17:13:22.338290,2,0.011,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L0,measure_only,level0,BasisTranslator,2026-08-29T17:13:22.338799,3,0.4375,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L0,measure_only,level0,ContainsInstruction,2026-08-29T17:13:22.338884,4,0.011,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,ContainsInstruction,2026-08-29T17:13:22.346904,0,0.0203,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,83.5
measure_only_L1,measure_only,level1,InverseCancellation,2026-08-29T17:13:22.347034,1,0.0215,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,ContractIdleWiresInControlFlow,2026-08-29T17:13:22.347100,2,0.0072,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,UnitarySynthesis,2026-08-29T17:13:22.347158,3,0.0098,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,HighLevelSynthesis,2026-08-29T17:13:22.347217,4,0.0119,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,BasisTranslator,2026-08-29T17:13:22.347421,5,0.1523,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,Size,2026-08-29T17:13:22.347481,6,0.0076,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,Depth,2026-08-29T17:13:22.347529,7,0.0057,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,FixedPoint,2026-08-29T17:13:22.347600,8,0.0169,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,FixedPoint,2026-08-29T17:13:22.347652,9,0.0079,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,Optimize1qGatesDecomposition,2026-08-29T17:13:22.348808,10,1.0388,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,InverseCancellation,2026-08-29T17:13:22.348926,11,0.0179,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,ContractIdleWiresInControlFlow,2026-08-29T17:13:22.348983,12,0.0062,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,GatesInBasis,2026-08-29T17:13:22.349067,13,0.0329,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,Size,2026-08-29T17:13:22.349144,14,0.0072,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,Depth,2026-08-29T17:13:22.349191,15,0.0062,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,FixedPoint,2026-08-29T17:13:22.349248,16,0.0136,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,FixedPoint,2026-08-29T17:13:22.349296,17,0.0069,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
measure_only_L1,measure_only,level1,ContainsInstruction,2026-08-29T17:13:22.349359,18,0.0093,False,8,5,5,3,3,4,4,8,5,5,3,3,4,4,0,0,0,0,-1
