case_id,program,config,activity,timestamp,seq,duration_ms,changed,ops_before,depth_before,gates_1q_before,gates_2q_before,gate_types_before,qubits_before,clbits_before,ops_after,depth_after,gates_1q_after,gates_2q_after,gate_types_after,qubits_after,clbits_after,d_ops,d_depth,d_gates_1q,d_gates_2q,mem_peak_kb
ghz_L0_none,ghz,level0_none,ContainsInstruction,2026-08-29T17:11:16.079128,0,0.0176,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,101.16
ghz_L0_none,ghz,level0_none,UnitarySynthesis,2026-08-29T17:11:16.079236,1,0.011,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_none,ghz,level0_none,HighLevelSynthesis,2026-08-29T17:11:16.079287,2,0.0105,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_none,ghz,level0_none,BasisTranslator,2026-08-29T17:11:16.080423,3,1.009,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_none,ghz,level0_none,ContainsInstruction,2026-08-29T17:11:16.080600,4,0.0217,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,ContainsInstruction,2026-08-29T17:11:16.088638,0,0.0153,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,99.2
ghz_L0_linear,ghz,level0_linear,UnitarySynthesis,2026-08-29T17:11:16.088712,1,0.0093,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,HighLevelSynthesis,2026-08-29T17:11:16.088752,2,0.0074,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,BasisTranslator,2026-08-29T17:11:16.088805,3,0.0238,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,SetLayout,2026-08-29T17:11:16.088839,4,0.0067,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,TrivialLayout,2026-08-29T17:11:16.088938,5,0.0677,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,FullAncillaAllocation,2026-08-29T17:11:16.088990,6,0.0246,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,EnlargeWithAncilla,2026-08-29T17:11:16.089051,7,0.0353,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,ApplyLayout,2026-08-29T17:11:16.089558,8,0.4728,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,CheckMap,2026-08-29T17:11:16.089610,9,0.015,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,FilterOpNodes,2026-08-29T17:11:16.089654,10,0.0153,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,UnitarySynthesis,2026-08-29T17:11:16.089691,11,0.0055,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,HighLevelSynthesis,2026-08-29T17:11:16.089724,12,0.0064,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,BasisTranslator,2026-08-29T17:11:16.089891,13,0.1364,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,CheckGateDirection,2026-08-29T17:11:16.090028,14,0.0877,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_linear,ghz,level0_linear,ContainsInstruction,2026-08-29T17:11:16.090066,15,0.0072,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,-1
ghz_L0_ring,ghz,level0_ring,ContainsInstruction,2026-08-29T17:11:16.093806,0,0.0122,False,4,4,1,3,2,4,0,4,4,1,3,2,4,0,0,0,0,0,30.29
